 logg  teff   ZR    a(CHEOPS)
 logg  teff   ZR    b(CHEOPS)
 logg  Teff   ZR    mucri(Cheops) 
 logg  teff   ZR    xi(CHEOPS)
 3.00  4600.  0.0   0.66714
 3.00  4600.  0.0   0.12482
 3.00  4600.  0.0   0.11885
 3.00  4600.  0.0   0.00675
 3.50  4600.  0.0   0.67006
 3.50  4600.  0.0   0.09869
 3.50  4600.  0.0   0.09215
 3.50  4600.  0.0   0.00501
 4.00  4600.  0.0   0.66990
 4.00  4600.  0.0   0.08476
 4.00  4600.  0.0   0.06785
 4.00  4600.  0.0   0.00467
 4.50  4600.  0.0   0.66474
 4.50  4600.  0.0   0.08238
 4.50  4600.  0.0   0.05278
 4.50  4600.  0.0   0.00382
 5.00  4600.  0.0   0.64621
 5.00  4600.  0.0   0.10008
 5.00  4600.  0.0   0.03868
 5.00  4600.  0.0   0.00333
 5.50  4600.  0.0   0.54554
 5.50  4600.  0.0   0.18054
 5.50  4600.  0.0   0.02846
 5.50  4600.  0.0   0.00631
 6.00  4600.  0.0   0.41343
 6.00  4600.  0.0   0.27118
 6.00  4600.  0.0   0.02139
 6.00  4600.  0.0   0.01368
 3.00  4700.  0.0   0.65247
 3.00  4700.  0.0   0.13466
 3.00  4700.  0.0   0.11853
 3.00  4700.  0.0   0.00690
 3.50  4700.  0.0   0.65580
 3.50  4700.  0.0   0.11012
 3.50  4700.  0.0   0.09208
 3.50  4700.  0.0   0.00540
 4.00  4700.  0.0   0.65896
 4.00  4700.  0.0   0.09240
 4.00  4700.  0.0   0.06778
 4.00  4700.  0.0   0.00464
 4.50  4700.  0.0   0.65275
 4.50  4700.  0.0   0.09097
 4.50  4700.  0.0   0.05287
 4.50  4700.  0.0   0.00390
 5.00  4700.  0.0   0.64517
 5.00  4700.  0.0   0.09638
 5.00  4700.  0.0   0.03875
 5.00  4700.  0.0   0.00366
 5.50  4700.  0.0   0.58595
 5.50  4700.  0.0   0.15202
 5.50  4700.  0.0   0.02843
 5.50  4700.  0.0   0.00436
 6.00  4700.  0.0   0.46973
 6.00  4700.  0.0   0.23785
 6.00  4700.  0.0   0.02133
 6.00  4700.  0.0   0.00995
 3.00  4800.  0.0   0.63757
 3.00  4800.  0.0   0.14402
 3.00  4800.  0.0   0.11896
 3.00  4800.  0.0   0.00704
 3.50  4800.  0.0   0.64151
 3.50  4800.  0.0   0.12002
 3.50  4800.  0.0   0.09243
 3.50  4800.  0.0   0.00549
 4.00  4800.  0.0   0.64571
 4.00  4800.  0.0   0.10174
 4.00  4800.  0.0   0.06820
 4.00  4800.  0.0   0.00469
 4.50  4800.  0.0   0.63980
 4.50  4800.  0.0   0.10094
 4.50  4800.  0.0   0.05315
 4.50  4800.  0.0   0.00404
 5.00  4800.  0.0   0.63884
 5.00  4800.  0.0   0.09870
 5.00  4800.  0.0   0.03898
 5.00  4800.  0.0   0.00369
 5.50  4800.  0.0   0.61252
 5.50  4800.  0.0   0.12395
 5.50  4800.  0.0   0.02862
 5.50  4800.  0.0   0.00290
 6.00  4800.  0.0   0.51956
 6.00  4800.  0.0   0.19621
 6.00  4800.  0.0   0.02149
 6.00  4800.  0.0   0.00573
 3.00  4900.  0.0   0.62438
 3.00  4900.  0.0   0.15203
 3.00  4900.  0.0   0.11995
 3.00  4900.  0.0   0.00715
 3.50  4900.  0.0   0.62853
